CCAA;FECHA;CASOS;PCR+;TestAc+;Hospitalizados;UCI;Fallecidos;Recuperados
RI;;312;;;64;13;4;2
AN;;;683;;229;13;11;0
AR;;207;;;74;9;12;0
AS;;193;;;34;5;1;3
IB;;92;;;26;4;1;1
CN;;148;;;56;13;2;8
CB;;58;;;18;2;0;10
CM;;567;;;207;23;17;12
CL;;431;;;95;24;12;5
CT;;1414;;;525;73;23;58
CE;;1;;;0;0;0;0
VC;;541;;;456;52;13;12
EX;;153;;;18;2;3;5
GA;;292;;;49;9;3;7
MD;;;7593;;3710;340;355;951
ML;;17;;;4;0;0;0
MC;;97;;;18;3;0;1
NC;;313;;;72;10;2;0
PV;;765;;;309;33;36;11
RI;;355;;;82;13;5;2
AN;;;859;;319;21;19;38
AR;;226;;;81;9;13;0
AS;;242;;;45;5;1;4
IB;;112;;;29;4;1;4
CN;;181;;;73;17;3;8
CB;;68;;;25;3;1;10
CM;;675;;;277;29;28;15
CL;;668;;;281;43;22;5
CT;;1866;;;679;101;33;79
CE;;1;;;0;0;0;0
VC;;726;;;530;65;22;16
EX;;194;;;27;3;6;6
GA;;341;;;63;12;3;7
MD;;;9534;;3778;491;390;951
ML;;20;;;4;0;0;0
MC;;122;;;22;4;0;1
NC;;386;;;93;10;3;0
PV;;973;;;353;37;40;14
RI;;419;;;99;13;5;2
AN;;;1008;;384;25;23;33
AR;;281;;;101;14;15;0
AS;;292;;;61;6;1;4
IB;;169;;;31;7;2;6
CN;;220;;;82;23;3;9
CB;;83;;;40;4;1;10
CM;;801;;;313;37;42;27
CL;;868;;;362;54;29;27
CT;;2702;;;825;118;53;103
CE;;1;;;0;0;0;0
VC;;921;;;647;85;24;19
EX;;241;;;36;3;8;6
GA;;453;;;100;15;4;4
MD;;;11278;;5168;590;498;941
ML;;23;;;4;0;0;0
MC;;167;;;36;6;0;1
NC;;482;;;132;11;4;0
PV;;1190;;;455;44;53;18
RI;;468;;;121;15;5;2
AN;;;1287;;501;38;30;36
AR;;360;;;127;28;17;0
AS;;344;;;87;7;2;12
IB;;203;;;48;10;2;10
CN;;287;;;115;25;4;9
CB;;144;;;61;7;1;10
CM;;1044;;;313;37;42;27
CL;;1147;;;476;69;43;37
CT;;3270;;;994;175;93;147
CE;;5;;;0;0;0;0
VC;;1105;;;777;101;33;20
EX;;297;;;44;4;10;7
GA;;578;;;138;19;5;5
MD;;;13324;;6338;678;628;1186
ML;;24;;;5;1;0;0
MC;;204;;;47;11;0;1
NC;;554;;;172;19;5;1
PV;;1465;;;550;53;71;21
RI;;497;;;122;15;7;13
AN;;;1515;;605;53;40;36
AR;;424;;;192;33;22;0
AS;;486;;;133;12;5;16
IB;;246;;;60;14;4;11
CN;;348;;;139;29;7;7
CB;;215;;;92;9;2;11
CM;;1423;;;635;65;84;38
CL;;1466;;;629;85;55;54
CT;;4203;;;1681;271;122;192
CE;;5;;;0;0;0;0
VC;;1363;;;947;129;50;25
EX;;354;;;65;6;12;8
GA;;739;;;168;29;9;6
MD;;;15639;;7388;767;804;1542
ML;;25;;;8;1;0;0
MC;;240;;;61;14;1;1
NC;;664;;;222;25;9;1
PV;;1725;;;654;71;85;165
RI;;564;;;128;17;15;18
AN;;;1725;;724;55;47;38
AR;;532;;;241;45;24;3
AS;;545;;;171;15;8;20
IB;;331;;;79;14;4;17
CN;;414;;;150;32;9;7
CB;;282;;;116;9;5;11
CM;;1819;;;838;76;112;48
CL;;1744;;;798;106;74;89
CT;;5046;;;1917;290;143;247
CE;;5;;;0;0;0;0
VC;;1604;;;1136;152;69;30
EX;;384;;;87;8;14;8
GA;;915;;;227;35;12;16
MD;;;17299;;8441;834;1021;1899
ML;;25;;;12;1;0;0
MC;;296;;;78;16;1;1
NC;;794;;;288;30;14;4
PV;;2097;;;988;81;97;216
RI;;654;;;134;17;18;18
AN;;;1961;;865;77;58;50
AR;;638;;;298;52;32;30
AS;;594;;;194;22;12;21
IB;;400;;;87;27;10;18
CN;;481;;;172;32;11;7
CB;;347;;;157;14;6;11
CM;;2078;;;1547;142;145;51
CL;;2055;;;977;120;102;117
CT;;5747;;;2158;308;199;402
CE;;6;;;0;0;0;0
VC;;1901;;;1311;181;94;36
EX;;493;;;131;13;18;6
GA;;1208;;;270;47;18;19
MD;;;18796;;9561;942;1263;2063
ML;;28;;;12;1;0;0
MC;;345;;;80;23;2;1
NC;;886;;;339;40;24;7
PV;;2421;;;1252;92;120;283
RI;;747;;;166;22;22;18
AN;;;2470;;1132;102;87;66
AR;;758;;;384;66;37;3
AS;;662;;;224;23;22;30
IB;;478;;;127;35;10;19
CN;;557;;;207;36;16;8
CB;;425;;;200;16;9;12
CM;;2465;;;1826;182;216;53
CL;;2460;;;1197;137;124;140
CT;;7864;;;3209;471;293;631
CE;;6;;;0;0;0;0
VC;;2167;;;1562;222;115;37
EX;;636;;;161;20;26;8
GA;;1415;;;338;55;20;19
MD;;;21451;;10443;1050;1535;2291
ML;;28;;;12;1;0;0
MC;;385;;;99;26;3;1
NC;;1014;;;405;45;31;11
PV;;2728;;;1425;106;133;344
RI;;802;;;206;24;30;24
AN;;;3008;;1433;116;113;71
AR;;907;;;459;75;40;4
AS;;779;;;263;29;25;35
IB;;562;;;164;40;13;28
CN;;657;;;235;43;21;15
CB;;510;;;241;18;14;12
CM;;2780;;;2162;210;263;71
CL;;2940;;;1457;170;165;213
CT;;9937;;;4349;713;385;961
CE;;9;;;2;1;0;0
VC;;2616;;;1842;255;143;44
EX;;742;;;209;28;39;8
GA;;1653;;;412;69;27;25
MD;;;24276;;11153;1150;1825;3031
ML;;38;;;14;2;0;0
MC;;477;;;127;33;5;4
NC;;1197;;;506;51;33;23
PV;;3271;;;1577;119;155;466
RI;;928;;;254;33;37;43
AN;;;3404;;1626;134;134;77
AR;;1116;;;562;93;48;4
AS;;841;;;300;34;27;40
IB;;660;;;205;43;17;39
CN;;784;;;279;45;24;18
CB;;671;;;300;26;17;14
CM;;3383;;;2162;243;316;95
CL;;3488;;;1823;202;206;308
CT;;11592;;;5371;764;501;1008
CE;;10;;;2;2;0;0
VC;;3200;;;2097;289;167;57
EX;;969;;;241;34;58;24
GA;;1915;;;503;86;32;47
MD;;;27199;;12440;1221;2090;3882
ML;;39;;;16;2;1;0
MC;;596;;;172;36;8;9
NC;;1411;;;649;54;49;35
PV;;3946;;;1907;137;180;621
RI;;995;;;316;36;43;48
AN;;;3790;;1843;148;144;92
AR;;1338;;;693;114;58;8
AS;;900;;;339;47;29;52
IB;;755;;;237;46;22;67
CN;;878;;;328;61;27;20
CB;;810;;;355;29;21;19
CM;;3934;;;2707;273;367;153
CL;;4132;;;2214;228;252;423
CT;;12940;;;6714;972;685;1482
CE;;17;;;2;2;0;0
VC;;3532;;;2357;325;198;73
EX;;1231;;;277;41;69;33
GA;;2322;;;557;98;43;67
MD;;;30557;;13580;1312;2412;5044
ML;;42;;;18;2;1;0
MC;;714;;;209;53;15;12
NC;;1641;;;732;75;58;70
PV;;4601;;;2270;154;207;814
RI;;1236;;;388;43;55;62
AN;;;4271;;2106;172;175;139
AR;;1592;;;835;124;93;8
AS;;1004;;;408;50;33;65
IB;;862;;;283;59;26;80
CN;;1025;;;377;68;36;25
CB;;937;;;406;37;22;21
CM;;4512;;;2977;289;448;197
CL;;4791;;;2648;249;321;585
CT;;14263;;;7954;1036;827;1717
CE;;17;;;2;2;1;0
VC;;4034;;;2606;348;234;92
EX;;1394;;;312;40;88;49
GA;;2772;;;906;112;47;95
MD;;;32916;;14211;1404;2757;6326
ML;;45;;;22;2;1;0
MC;;802;;;231;58;17;12
NC;;1829;;;827;84;70;98
PV;;5136;;;2612;176;241;1023
RI;;1436;;;458;43;65;364
AN;;;4676;;2294;201;207;148
AR;;1858;;;835;124;104;8
AS;;1088;;;466;57;41;76
IB;;958;;;345;71;29;82
CN;;1125;;;425;78;39;30
CB;;1023;;;449;40;26;24
CM;;5246;;;3018;299;539;236
CL;;5414;;;3160;278;380;752
CT;;15025;;;8447;1080;904;1966
CE;;21;;;2;2;1;0
VC;;4784;;;2773;375;267;161
EX;;1456;;;313;41;100;51
GA;;3139;;;1043;123;60;153
MD;;;33931;;14454;1429;3082;7491
ML;;48;;;24;2;1;0
MC;;872;;;260;58;20;16
NC;;2011;;;896;90;84;125
PV;;5740;;;3106;271;265;1503
RI;;1629;;;497;43;68;397
AN;;;5398;;2671;216;236;155
AR;;2078;;;1094;156;106;174
AS;;1158;;;479;60;49;78
IB;;1000;;;353;80;37;100
CN;;1204;;;444;84;40;32
CB;;1100;;;481;46;27;24
CM;;5858;;;3134;302;622;252
CL;;5801;;;3411;307;442;871
CT;;16104;;;9126;1150;983;2168
CE;;25;;;2;2;1;0
VC;;5110;;;2914;393;310;185
EX;;1560;;;353;43;106;60
GA;;3723;;;1147;134;66;168
MD;;;34798;;14917;1460;3392;8301
ML;;51;;;27;3;1;0
MC;;939;;;265;58;25;17
NC;;2146;;;955;96;102;161
PV;;6057;;;3427;293;297;1646
RI;;1733;;;517;43;71;431
AN;;;5809;;2867;235;248;160
AR;;2272;;;1176;165;138;204
AS;;1236;;;529;65;55;90
IB;;1069;;;399;85;42;111
CN;;1262;;;483;94;55;57
CB;;1171;;;522;50;37;35
CM;;6424;;;3225;344;708;296
CL;;6211;;;3629;325;516;1028
CT;;18520;;;9925;1218;1216;2633
CE;;34;;;3;3;1;0
VC;;5508;;;3111;416;339;200
EX;;1628;;;371;51;133;91
GA;;4039;;;1250;149;84;187
MD;;;37343;;15140;1514;3603;9330
ML;;54;;;27;3;1;0
MC;;974;;;283;59;34;20
NC;;2305;;;1035;99;113;192
PV;;6320;;;3594;307;325;1796
RI;;1810;;;575;51;85;496
AN;;;6379;;3147;260;308;182
AR;;2491;;;1234;168;169;257
AS;;1322;;;590;76;63;109
IB;;1131;;;468;95;46;170
CN;;1380;;;532;110;62;77
CB;;1213;;;543;54;54;43
CM;;7047;;;3230;353;774;397
CL;;6847;;;3951;345;585;1259
CT;;19991;;;11446;1345;1458;3077
CE;;51;;;6;3;1;0
VC;;5922;;;3253;434;395;240
EX;;1679;;;372;58;152;113
GA;;4432;;;1338;158;103;259
MD;;;39117;;15227;1514;3865;10827
ML;;62;;;32;3;1;0
MC;;1041;;;304;59;37;43
NC;;2497;;;1120;104;130;236
PV;;6838;;;3806;324;369;2165
RI;;1960;;;619;54;90;569
AN;;;6957;;3444;280;343;228
AR;;2700;;;1320;178;200;320
AS;;1384;;;640;79;69;135
IB;;1204;;;517;105;58;239
CN;;1444;;;566;113;68;94
CB;;1268;;;567;57;60;60
CM;;7682;;;3230;355;854;494
CL;;7355;;;4207;353;641;1498
CT;;21804;;;12398;1415;1629;3683
CE;;55;;;7;3;1;0
VC;;6308;;;3389;449;443;432
EX;;1837;;;412;62;181;139
GA;;4842;;;1447;165;120;333
MD;;;40863;;15227;1528;4175;12400
ML;;62;;;32;3;1;0
MC;;1084;;;389;68;42;45
NC;;2682;;;1181;108;141;278
PV;;7317;;;4087;344;412;2490
RI;;2083;;;660;57;101;641
AN;;;7353;;3673;338;376;258
AR;;2889;;;1431;180;224;378
AS;;1433;;;702;86;70;154
IB;;1257;;;587;112;69;375
CN;;1490;;;605;120;73;102
CB;;1321;;;592;59;64;74
CM;;8523;;;3168;355;916;579
CL;;7875;;;4472;355;723;1759
CT;;23460;;;13101;1482;1784;3876
CE;;62;;;8;3;1;2
VC;;6624;;;3492;460;511;592
EX;;1893;;;415;64;200;164
GA;;5219;;;1630;178;138;435
MD;;;42667;;15050;1506;4483;13850
ML;;70;;;34;3;2;4
MC;;1145;;;405;72;46;90
NC;;2836;;;1284;119;151;294
PV;;7827;;;4283;363;444;2809
RI;;2224;;;738;64;109;745
AN;;;7847;;3896;364;426;463
AR;;3078;;;1505;190;251;440
AS;;1522;;;766;87;76;190
IB;;1271;;;634;114;71;422
CN;;1564;;;632;128;78;123
CB;;1384;;;619;60;68;99
CM;;9324;;;3133;360;989;657
CL;;8332;;;4685;348;786;2021
CT;;24734;;;14251;1569;1928;4589
CE;;73;;;8;4;1;2
VC;;6901;;;3560;470;571;695
EX;;1979;;;453;64;208;205
GA;;5625;;;1767;178;159;531
MD;;;44360;;14741;1498;4723;15362
ML;;79;;;37;3;2;9
MC;;1188;;;434;79;51;113
NC;;2972;;;1341;120;171;311
PV;;8187;;;4522;377;477;3098
RI;;2405;;;805;64;128;843
AN;;;8279;;4107;474;470;665
AR;;3232;;;1588;233;270;537
AS;;1605;;;808;90;80;216
IB;;1293;;;664;120;75;461
CN;;1622;;;644;129;80;137
CB;;1441;;;639;62;68;113
CM;;10031;;;2950;357;1055;1149
CL;;8749;;;4905;351;847;2331
CT;;26032;;;14798;1653;2053;5149
CE;;83;;;9;4;2;2
VC;;7184;;;3620;478;613;812
EX;;2047;;;417;66;218;215
GA;;5944;;;1831;170;174;587
MD;;;45238;;14551;1499;4941;16543
ML;;83;;;38;3;2;11
MC;;1235;;;447;80;59;130
NC;;3073;;;1399;123;178;334
PV;;8628;;;4666;404;515;3405
RI;;2592;;;855;66;134;904
AN;;;8559;;4227;489;491;798
AR;;3347;;;1637;237;284;565
AS;;1646;;;846;90;86;222
IB;;1320;;;683;121;81;531
CN;;1649;;;651;133;85;157
CB;;1483;;;658;65;77;118
CM;;10602;;;2901;354;1132;1259
CL;;9116;;;5041;348;919;2533
CT;;26824;;;15258;1685;2167;5374
CE;;83;;;9;4;3;2
VC;;7334;;;3668;487;637;930
