fecha,codigo_iso_pais,nombre_pais,codigo_iso_ccaa,codigo_ine_ccaa,nombre_ccaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosCurados,casosConfirmadosDiario,casosUciDiario,casosFallecidosDiario
2020-03-16,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,50,10,0,2,0,2,0,-1,0
2020-03-16,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,235,85,13,5,0,5,0,1,1
2020-03-16,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,84,21,9,0,1,0,1,5,0
2020-03-15,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,14,1,0,0,0,0,0,0,0
2020-03-15,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,34,8,1,0,0,0,0,0,0
2020-03-15,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,37,6,2,0,0,0,0,0,0
2020-03-15,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,57,20,3,0,0,0,0,0,0
2020-03-15,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,6,0,0,0,0,0,0,0,0
2020-03-15,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,47,3,1,2,0,0,0,1,1
2020-03-15,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,180,81,12,4,0,0,0,2,2
2020-03-15,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,62,15,4,0,1,1,1,3,0
2020-03-14,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,14,0,0,0,0,0,0,0,0
2020-03-14,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,22,7,1,0,0,0,0,0,0
2020-03-14,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,23,4,2,0,0,0,0,1,0
2020-03-14,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,27,14,3,0,0,0,0,2,0
2020-03-14,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,4,0,0,0,0,0,0,0,0
2020-03-14,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,34,3,0,1,0,0,0,-1,1
2020-03-14,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,146,52,10,2,0,0,0,1,2
2020-03-14,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,34,13,1,0,1,1,1,1,0
2020-03-13,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,13,0,0,0,0,,9,0,0
2020-03-13,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,21,2,1,0,0,,10,1,0
2020-03-13,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,18,3,1,0,0,,15,1,0
2020-03-13,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,22,6,1,0,0,,9,1,0
2020-03-13,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,4,0,0,0,0,,2,0,0
2020-03-13,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,34,10,1,0,0,,17,1,0
2020-03-13,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,128,46,9,0,0,,31,8,0
2020-03-13,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,29,8,0,0,1,,18,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,4,,0,0,0,,1,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,11,1,0,0,0,,5,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,3,1,0,0,0,,1,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,13,0,0,0,0,,13,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,2,0,0,0,0,,1,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,17,4,0,0,0,,8,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,97,27,1,0,1,,28,0,0
2020-03-12,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,11,5,0,0,0,,4,0,0
